index_case,s_screen_interval,t_screen_interval,s_mask,t_mask,half_classes,ventilation_modification
student,None,None,FALSE,FALSE,FALSE,1
teacher,None,None,FALSE,FALSE,FALSE,1
student,7,None,FALSE,FALSE,FALSE,1
teacher,7,None,FALSE,FALSE,FALSE,1
student,3,None,FALSE,FALSE,FALSE,1
teacher,3,None,FALSE,FALSE,FALSE,1
student,None,7,FALSE,FALSE,FALSE,1
teacher,None,7,FALSE,FALSE,FALSE,1
student,None,3,FALSE,FALSE,FALSE,1
teacher,None,3,FALSE,FALSE,FALSE,1
student,None,None,TRUE,FALSE,FALSE,1
teacher,None,None,TRUE,FALSE,FALSE,1
student,None,None,FALSE,TRUE,FALSE,1
teacher,None,None,FALSE,TRUE,FALSE,1
student,None,None,FALSE,FALSE,TRUE,1
teacher,None,None,FALSE,FALSE,TRUE,1
student,None,None,FALSE,FALSE,FALSE,0.36
teacher,None,None,FALSE,FALSE,FALSE,0.36
