index_case,s_screen_interval,t_screen_interval,s_mask,t_mask,class_size_reduction,ventilation_modification,age_transmission_discount
student,None,None,FALSE,FALSE,0,1,0
teacher,None,None,FALSE,FALSE,0,1,0
student,None,None,TRUE,TRUE,0.5,0.36,0
teacher,None,None,TRUE,TRUE,0.5,0.36,0
student,7,7,FALSE,FALSE,0,0.36,0
teacher,7,7,FALSE,FALSE,0,0.36,0
student,3,3,FALSE,FALSE,0,0.36,0
teacher,3,3,FALSE,FALSE,0,0.36,0
student,7,7,TRUE,TRUE,0,0.36,0
teacher,7,7,TRUE,TRUE,0,0.36,0
student,3,3,TRUE,TRUE,0,0.36,0
teacher,3,3,TRUE,TRUE,0,0.36,0
student,7,7,FALSE,FALSE,0.5,0.36,0
teacher,7,7,FALSE,FALSE,0.5,0.36,0
student,3,3,FALSE,FALSE,0.5,0.36,0
teacher,3,3,FALSE,FALSE,0.5,0.36,0
student,3,3,TRUE,TRUE,0.5,0.36,0
teacher,3,3,TRUE,TRUE,0.5,0.36,0
student,None,None,FALSE,FALSE,0,1,-0.0225
teacher,None,None,FALSE,FALSE,0,1,-0.0225
student,None,None,TRUE,TRUE,0.5,0.36,-0.0225
teacher,None,None,TRUE,TRUE,0.5,0.36,-0.0225
student,7,7,FALSE,FALSE,0,0.36,-0.0225
teacher,7,7,FALSE,FALSE,0,0.36,-0.0225
student,3,3,FALSE,FALSE,0,0.36,-0.0225
teacher,3,3,FALSE,FALSE,0,0.36,-0.0225
student,7,7,TRUE,TRUE,0,0.36,-0.0225
teacher,7,7,TRUE,TRUE,0,0.36,-0.0225
student,3,3,TRUE,TRUE,0,0.36,-0.0225
teacher,3,3,TRUE,TRUE,0,0.36,-0.0225
student,7,7,FALSE,FALSE,0.5,0.36,-0.0225
teacher,7,7,FALSE,FALSE,0.5,0.36,-0.0225
student,3,3,FALSE,FALSE,0.5,0.36,-0.0225
teacher,3,3,FALSE,FALSE,0.5,0.36,-0.0225
student,3,3,TRUE,TRUE,0.5,0.36,-0.0225
teacher,3,3,TRUE,TRUE,0.5,0.36,-0.0225
