index_case,s_screen_interval,t_screen_interval,s_mask,t_mask,class_size_reduction,ventilation_modification,contact_weight
student,None,None,FALSE,FALSE,0,1,0.26
teacher,None,None,FALSE,FALSE,0,1,0.26
student,None,None,TRUE,TRUE,0.5,0.36,0.26
teacher,None,None,TRUE,TRUE,0.5,0.36,0.26
student,7,7,FALSE,FALSE,0,0.36,0.26
teacher,7,7,FALSE,FALSE,0,0.36,0.26
student,3,3,FALSE,FALSE,0,0.36,0.26
teacher,3,3,FALSE,FALSE,0,0.36,0.26
student,7,7,TRUE,TRUE,0,0.36,0.26
teacher,7,7,TRUE,TRUE,0,0.36,0.26
student,3,3,TRUE,TRUE,0,0.36,0.26
teacher,3,3,TRUE,TRUE,0,0.36,0.26
student,7,7,FALSE,FALSE,0.5,0.36,0.26
teacher,7,7,FALSE,FALSE,0.5,0.36,0.26
student,3,3,FALSE,FALSE,0.5,0.36,0.26
teacher,3,3,FALSE,FALSE,0.5,0.36,0.26
student,3,3,TRUE,TRUE,0.5,0.36,0.26
teacher,3,3,TRUE,TRUE,0.5,0.36,0.26
student,None,None,FALSE,FALSE,0,1,0.34
teacher,None,None,FALSE,FALSE,0,1,0.34
student,None,None,TRUE,TRUE,0.5,0.36,0.34
teacher,None,None,TRUE,TRUE,0.5,0.36,0.34
student,7,7,FALSE,FALSE,0,0.36,0.34
teacher,7,7,FALSE,FALSE,0,0.36,0.34
student,3,3,FALSE,FALSE,0,0.36,0.34
teacher,3,3,FALSE,FALSE,0,0.36,0.34
student,7,7,TRUE,TRUE,0,0.36,0.34
teacher,7,7,TRUE,TRUE,0,0.36,0.34
student,3,3,TRUE,TRUE,0,0.36,0.34
teacher,3,3,TRUE,TRUE,0,0.36,0.34
student,7,7,FALSE,FALSE,0.5,0.36,0.34
teacher,7,7,FALSE,FALSE,0.5,0.36,0.34
student,3,3,FALSE,FALSE,0.5,0.36,0.34
teacher,3,3,FALSE,FALSE,0.5,0.36,0.34
student,3,3,TRUE,TRUE,0.5,0.36,0.34
teacher,3,3,TRUE,TRUE,0.5,0.36,0.34
