index_case,s_screen_interval,t_screen_interval,s_mask,t_mask,class_size_reduction,ventilation_modification
student,None,None,FALSE,FALSE,0,0.2
teacher,None,None,FALSE,FALSE,0,0.2
student,None,None,FALSE,FALSE,0,0.3
teacher,None,None,FALSE,FALSE,0,0.3
student,None,None,FALSE,FALSE,0,0.4
teacher,None,None,FALSE,FALSE,0,0.4
student,None,None,FALSE,FALSE,0,0.5
teacher,None,None,FALSE,FALSE,0,0.5
student,None,None,FALSE,FALSE,0,0.6
teacher,None,None,FALSE,FALSE,0,0.6
student,None,None,FALSE,FALSE,0,0.7
teacher,None,None,FALSE,FALSE,0,0.7
student,None,None,FALSE,FALSE,0,0.8
teacher,None,None,FALSE,FALSE,0,0.8
student,None,None,FALSE,FALSE,0,0.9
teacher,None,None,FALSE,FALSE,0,0.9
student,None,None,TRUE,TRUE,0.5,0.2
teacher,None,None,TRUE,TRUE,0.5,0.2
student,None,None,TRUE,TRUE,0.5,0.3
teacher,None,None,TRUE,TRUE,0.5,0.3
student,None,None,TRUE,TRUE,0.5,0.4
teacher,None,None,TRUE,TRUE,0.5,0.4
student,None,None,TRUE,TRUE,0.5,0.5
teacher,None,None,TRUE,TRUE,0.5,0.5
student,None,None,TRUE,TRUE,0.5,0.6
teacher,None,None,TRUE,TRUE,0.5,0.6
student,None,None,TRUE,TRUE,0.5,0.7
teacher,None,None,TRUE,TRUE,0.5,0.7
student,None,None,TRUE,TRUE,0.5,0.8
teacher,None,None,TRUE,TRUE,0.5,0.8
student,None,None,TRUE,TRUE,0.5,0.9
teacher,None,None,TRUE,TRUE,0.5,0.9
student,3,3,FALSE,FALSE,0,0.2
teacher,3,3,FALSE,FALSE,0,0.2
student,3,3,FALSE,FALSE,0,0.3
teacher,3,3,FALSE,FALSE,0,0.3
student,3,3,FALSE,FALSE,0,0.4
teacher,3,3,FALSE,FALSE,0,0.4
student,3,3,FALSE,FALSE,0,0.5
teacher,3,3,FALSE,FALSE,0,0.5
student,3,3,FALSE,FALSE,0,0.6
teacher,3,3,FALSE,FALSE,0,0.6
student,3,3,FALSE,FALSE,0,0.7
teacher,3,3,FALSE,FALSE,0,0.7
student,3,3,FALSE,FALSE,0,0.8
teacher,3,3,FALSE,FALSE,0,0.8
student,3,3,FALSE,FALSE,0,0.9
teacher,3,3,FALSE,FALSE,0,0.9
student,3,3,TRUE,TRUE,0.5,0.2
teacher,3,3,TRUE,TRUE,0.5,0.2
student,3,3,TRUE,TRUE,0.5,0.3
teacher,3,3,TRUE,TRUE,0.5,0.3
student,3,3,TRUE,TRUE,0.5,0.4
teacher,3,3,TRUE,TRUE,0.5,0.4
student,3,3,TRUE,TRUE,0.5,0.5
teacher,3,3,TRUE,TRUE,0.5,0.5
student,3,3,TRUE,TRUE,0.5,0.6
teacher,3,3,TRUE,TRUE,0.5,0.6
student,3,3,TRUE,TRUE,0.5,0.7
teacher,3,3,TRUE,TRUE,0.5,0.7
student,3,3,TRUE,TRUE,0.5,0.8
teacher,3,3,TRUE,TRUE,0.5,0.8
student,3,3,TRUE,TRUE,0.5,0.9
teacher,3,3,TRUE,TRUE,0.5,0.9
